,predictor,Beta,SE
0,const,2.5033470042392834,0.5105831625867544
1,relief_1km,0.004517923582694138,0.0008020194500037994
2,relief_5km,-0.001566584139909906,0.0002526105085390807
3,aspect_ratio_stddev_1,0.11233738218683868,0.019797457854971473
4,const,0.13300416326687223,0.09400447134401643
5,station_z,-0.00016858066159474062,5.3906827045114775e-05
6,Z_mean_10km,0.00021671154776912056,5.9926222087635305e-05
7,const,0.7344946246376537,0.4939245240710103
8,Slope_100m,1.9285194118938114,1.453178841888482
