,0
0,0.7100271774256529
1,0.5678202175161073
2,0.6858830898174452
3,0.5937156707751075
4,0.5376865606487988
5,0.8461200360990812
6,0.9097796508181638
7,1.984704580748904
8,0.962169744879097
9,1.1828328234393415
10,1.142310375008998
11,1.1803159133141905
12,1.3427699318177388
13,0.890788089536927
14,0.6009503607600528
15,0.2487600657253805
16,0.5371967567909028
17,0.13391049236294486
18,0.5980501919402217
19,1.2074458844147942
20,0.43112981672266865
21,0.3208200717902494
22,0.18267818319698018
23,0.2462603343972054
24,0.470088734428605
25,0.7809572520359785
26,1.2583152941281395
27,0.6236039960698219
